Finished,Q3,Q42,Q43,Q6,Q7,Q8,Q9,Salary Exp 1_1,Salary Exp 1_2,Salary Exp 1_3,Salary Exp 2,Salary Exp 2 depend_1,Salary Exp 2 depend_2,Salary Exp 3_1,Salary Exp 3_2,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q15,Q16,Q17,Q17_6_TEXT,Q18,Q20,Q23,definition
True,I agree,Yes,differential privacy means sharing information in public.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,4,5 - Full Understanding,5 - Full Understanding,Man,1990,White,NA,"Advanced degree (e.g., Master's, doctorate)","I have an education in, or work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,Yes,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,Prefer not to answer.,5 - Full Understanding,5 - Full Understanding,4,Woman,1961,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,Yes,Differential privacy is a system for publicly sharing information about a dataset by describing the patterns of groups within the dataset while withholding information about individuals in the dataset.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,4,2,4,2,4,Man,1992,White,NA,"Advanced degree (e.g., Master's, doctorate)","I have an education in, or work in, the field of computer science, computer engineering or IT.","$100,000 to under $125,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,Yes,It was make private analysis will essentially make the same inference about any individual's private information.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Woman,1991,White,NA,"Advanced degree (e.g., Master's, doctorate)","I have an education in, or work in, the field of computer science, computer engineering or IT.","$80,000 to under $100,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,Yes,"Differential privacy makes it possible for tech companies to collect and share aggregate information about user habits, while maintaining the privacy of individual users",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5 - Full Understanding,4,5 - Full Understanding,3,Man,1991,White,NA,"Advanced degree (e.g., Master's, doctorate)","I have an education in, or work in, the field of computer science, computer engineering or IT.","$100,000 to under $125,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,Yes,Something different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,3,5 - Full Understanding,3,2,Man,1993,White,NA,Associate's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$40,000 to under $50,000",NA
True,I agree,Yes,"Differential privacy makes it possible for tech companies to collect and share aggregate information about user habits, while maintaining the privacy of individual users",Yes,it allows you to hold your company accountable for fair pay practices and ensure you're getting paid what you're worth,NA,NA,False,True,True,True,NA,NA,False,True,3,5 - Full Understanding,4,5 - Full Understanding,4,3,Man,1991,White,NA,"Advanced degree (e.g., Master's, doctorate)","I have an education in, or work in, the field of computer science, computer engineering or IT.","$100,000 to under $125,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,Yes,good,Yes,great,NA,NA,True,False,True,True,NA,NA,True,False,3,4,5 - Full Understanding,Prefer not to answer.,5 - Full Understanding,4,Man,1985,White,NA,"Advanced degree (e.g., Master's, doctorate)","I have an education in, or work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,No,NA,Yes,I would be willing to share this information if it was private.,NA,NA,True,False,False,False,True,True,False,False,4,5 - Full Understanding,3,5 - Full Understanding,3,5 - Full Understanding,Woman,1986,White,NA,Associate's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$20,000 to under $30,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,No,NA,No,NA,I do not have long term gainful employment,NA,False,True,True,NA,NA,NA,I don't know,I don't know,4,4,2,3,2,4,Man,34,White,NA,High school graduate (high school diploma or equivalent including GED),"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$40,000 to under $50,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,No,NA,Yes,"Ultimately, it's going to help me. Salary information and data is worth sharing.",NA,NA,True,False,True,False,True,True,False,False,4,5 - Full Understanding,4,4,2,5 - Full Understanding,Woman,1992,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,Yes,"To do machine learning, we need data. • What if the data contains sensitive information? • Even if the (person running the) learning algo can be trusted, perhaps the output of the algorithm reveals sensitive info",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,4,3,5 - Full Understanding,Prefer not to answer.,5 - Full Understanding,Woman,1956,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$20,000 to under $30,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,4,5 - Full Understanding,Man,1988,White,NA,High school graduate (high school diploma or equivalent including GED),"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,3,5 - Full Understanding,Man,1985,White,NA,High school graduate (high school diploma or equivalent including GED),"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$40,000 to under $50,000",NA
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,3,4,Woman,1995,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1986,White,NA,High school graduate (high school diploma or equivalent including GED),"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$100,000 to under $125,000",NA
True,I agree,No,NA,Yes,I feel like my privacy will be protected.,NA,NA,NA,False,False,NA,NA,NA,I don't know,I don't know,4,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,4,5 - Full Understanding,Man,1963,White,NA,Associate's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,3,3,3,2,4,Woman,1982,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$150,000 to under $200,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Woman,1965,"Asian, Native Hawaiian, or Pacific Islander",NA,"Advanced degree (e.g., Master's, doctorate)","I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$100,000 to under $125,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,No,NA,Yes,"I think being transparent about salary is really important as it ensures that people are being compensated fairly. This helps to cut down on gender/sex based discrimination, as well as racial discrimination.",NA,NA,True,True,False,True,NA,NA,True,True,1 - No Understanding,5 - Full Understanding,4,3,3,3,Woman,1996,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,Yes,Privacy that is different based on the organization,No,NA,It seems like the information is too sensitive,NA,NA,True,True,True,NA,NA,True,True,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1983,White,NA,"Advanced degree (e.g., Master's, doctorate)","I have an education in, or work in, the field of computer science, computer engineering or IT.","$125,000 to under $150,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,No,NA,I’m not sure,NA,NA,"I need a better description about how differential privacy works. A simple, one-line reassurance is insufficient.",NA,NA,NA,NA,NA,NA,I don't know,I don't know,4,Prefer not to answer.,Prefer not to answer.,Prefer not to answer.,Prefer not to answer.,Prefer not to answer.,Non-binary,1972,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$40,000 to under $50,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,No,NA,Yes,"I would help promote transparency, provided I thought his project was truly legitimate.",NA,NA,NA,NA,NA,False,False,True,False,False,4,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1990,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$80,000 to under $100,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,Man,1984,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,No,NA,No,NA,My salary is my personal information. I would not feel comfortable sharing even with friends,NA,False,True,True,False,True,True,False,False,4,4,4,4,4,4,Man,1978,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$40,000 to under $50,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,I'm not sure,NA,I’m not sure,NA,NA,I would like to know more about the initiative and what identifying information is associated with releasing my salary information. I would like to have a thorough explanation of their collections methods and their goals in detail.,NA,NA,NA,True,NA,NA,True,True,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,4,5 - Full Understanding,Man,1988,"Asian, Native Hawaiian, or Pacific Islander",NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$20,000 to under $30,000",NA
True,I agree,Yes,About user habits,Yes,I want to show up my level of income,NA,NA,False,True,True,True,NA,NA,True,I don't know,4,5 - Full Understanding,2,3,3,4,Man,1966,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,No,NA,Yes,It sounds like they use a good privacy protection method.  I would feel safe giving the information because of the privacy settings.,NA,NA,True,NA,NA,False,True,True,False,False,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1982,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$80,000 to under $100,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,Yes,my wish,Yes,good,NA,NA,True,False,True,True,NA,NA,True,True,3,2,3,3,2,1 - No Understanding,Woman,62,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000",NA
True,I agree,Yes,"In my own perception , it is a system for publicly sharing information about a dataset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,4,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,1997,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$80,000 to under $100,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,No,NA,No,NA,It's no one else's business. I don't care if it's anonymous.,NA,NA,True,True,True,NA,NA,I don't know,I don't know,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Man,38,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.",Prefer not to answer.,"To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy allows analysts to learn useful information from large amounts of data without compromising an individual's privacy."
True,I agree,No,NA,Yes,It would be anonymous and it would be useful for a good purpose.,NA,NA,True,True,True,True,NA,NA,False,True,4,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,4,5 - Full Understanding,Woman,1976,White,NA,"Advanced degree (e.g., Master's, doctorate)","I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$100,000 to under $125,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Woman,1979,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,No,NA,I’m not sure,NA,NA,I do not know how well differential policy works. I know nothing about it other than the small bit of information my I just learned on the last page.,NA,NA,NA,NA,NA,NA,I don't know,I don't know,1 - No Understanding,5 - Full Understanding,2,5 - Full Understanding,3,3,Man,1964,White,NA,"Advanced degree (e.g., Master's, doctorate)","I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$80,000 to under $100,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,Yes,"Differential privacy (DP) is a strong, mathematical definition of privacy in the context of statistical and machine learning analysis. According to this mathematical definition, DP is a criterion of privacy protection, which many tools for analyzing. sensitive personal information have been devised to satisfy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,Prefer not to answer.,5 - Full Understanding,4,5 - Full Understanding,Man,1985,Black or African American,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$40,000 to under $50,000",NA
True,I agree,No,NA,Yes,I would want to help my friend out with his project.,NA,NA,False,False,False,False,True,False,False,False,1 - No Understanding,3,5 - Full Understanding,5 - Full Understanding,3,5 - Full Understanding,Man,1991,White,NA,Associate's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,Woman,1981,White,NA,Associate's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$80,000 to under $100,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is a novel, mathematical technique to preserve privacy which is used by companies like Apple and Uber."
True,I agree,No,NA,I’m not sure,NA,NA,I would want to know who gets access to my salary data and if it will be attached to my name.,True,True,NA,True,NA,NA,True,True,4,4,2,3,2,4,Woman,1997,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.",Prefer not to answer.,"To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,Yes,Differential privacy is a system for publicly sharing information about a dataset by describing the patterns of groups within the dataset while withholding information about individuals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 - No Understanding,2,3,4,5 - Full Understanding,Prefer not to answer.,Man,1996,Hispanic or Latino,NA,High school graduate (high school diploma or equivalent including GED),"I have an education in, or work in, the field of computer science, computer engineering or IT.","$80,000 to under $100,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
